"[Dam-A] 뚝배기순두부찌개, 파채돈육데리야끼볶음, 도토리묵&양념장, 돌나물적채무침, 포기김치, 흑미밥","[Dam-A] 뚝배기설렁탕&소면, 고갈비구이, 후랑크볶음, 숙주삼색나물, 깍두기, 완두콩밥","[Dam-A] 뚝배기전주비빔밥*계란F, 쇠고기미역국, 순대떡강정, 새싹연두부샐러드, 포기김치, 바나나1/2","[Dam-A] (뚝)제육버섯불고기*당면, 열무된장국, 옛날소세지전&케찹, 콩나물무침, 포기김치, 기장밥","[Dam-A] 황태해장국, 광동식탕수육, 버섯잡채, 미역줄기볶음, 깍두기, 수수밥"
"[Pangeos] 하와이안로코모코, 미트소스스파게티, 미소장국, 떡맛살샐러드, 피클&할라피뇨, 건빵튀김","[Pangeos] 가츠돈가스카레덮밥, 호박칼국수, 고구마맛탕, 단무지무침, 포기김치, 화인쿨","[Pangeos] 치킨커틀렛&베이비채소, 로제파스타, 크림스프, 후리가케밥, 감자튀김&케찹, 피클&할라피뇨, 바나나1/2","[Pangeos] 오므라이스&코코넛새우가스, 유부우동, 사모사튀김, 산고추지, 포기김치, 설탕절임토마토, 매콤달콤떡볶이&순대, 요구르트","[Pangeos] 아쿠아돈가스, 냉모밀소바, 후르츠마카로니샐러드, 야채볶음밥, 산고추지, 요구르트"
"[Pangeos] 철판닭강정*땅콩가루, 김치볶음밥&맛김가루, 유부장국, 단호박샐러드, 깍두기, 요구르트","[Dam-A] 뚝배기만두전골, 미트볼조림, 계란말이, 연근조림, 포기김치, 기장밥","[Dam-A] 뚝배기우렁된장찌개, 메추리알곤약조림, 동그랑땡계란전, 양념깻잎지, 포기김치, 보리밥","[Dam-A] 철판오삼불고기, 콩나물국, 호박새우젓볶음, 오이미역초무침, 포기김치, 차조밥, 피쉬앤칩스, 과일컵","[Dam-A] 철판치즈닭갈비, 시금치된장국, 사각어묵간장볶음, 가지나물무침, 포기김치, 쌀밥"
,"[Pangeos] 바싹불고기샐러드비빔밥, 만두탕수, 미소장국, 참치펜네, 피클&할라피뇨, 베이비슈","[Pangeos] 슈니첼&레몬&베이비채소, 매콤알리오올리오, 크림스프, 김가루밥, 피클&할라피뇨, 미니호빵","[Pangeos] 고구마치즈돈가스&베이비채소, 잔치국수, 후리가케밥, 메가크런치, 포기김치, 새우칩",
"[Dam-A] 뚝배기참치김치찌개, 제육데리야끼강정&파채, 삼색계란찜, 미역줄기볶음, 깍두기, 수수밥","[Dam-A] 철판제육볶음&눈꽃치즈, 시금치된장국, 볼어묵곤약조림, 콩나물무침, 포기김치, 기장밥","[Dam-A] 뚝배기만두육개장, 미트볼파인애플조림, 알옥수수김치전, 간장깻잎지, 깍두기, 흑미밥","[Dam-A] 뚝배기순두부찌개, 자반고등어구이&레몬, 미니돈가스*케찹, 무들깨나물, 포기김치, 차조밥","[Dam-A] 뚝배기사리곰탕, 제육김치*온두부, 비엔나떡강정, 건파래자반, 깍두기, 기장밥"
"[Pangeos] 오므라이스&떡갈비, 김치우동, 옥수수샐러드, 미역줄기볶음, 피클&할라피뇨, 사과&요거트푸딩","[Pangeos] 슈니첼&레몬&베이비채소, 미트소스스파게티, 팽이장국, 후리가케밥, 마카로니샐러드, 화인쿨","[Pangeos] 그릴소시지플레이트, 김치볶음밥&김가루, 미니유부우동, 춘권튀김, 피클&할라피뇨, 요구르트","[Pangeos] 참치김치마요덮밥, 꼬치어묵국수, 메가크런치, 천사채햄샐러드, 산고추지, 새우칩","[Pangeos] 순살데리야끼치킨*파채, 야채볶음밥*자장소스, 팽이미소시로, 비엔나떡강정, 할라피뇨&피클, 토마토설탕절임"
"[Pangeos] 뚝배기날치알밥, 맑은우동국, 케이준치킨샐러드, 산고추지, 깍두기, 꼬마찐빵","[Dam-A] (뚝)순살안동찜닭, 미역국, 옛날소세지전*케찹, 돌나물적채무침, 포기김치, 흑미밥","[Dam-A] (뚝)전주비빔밥*계란F, 근대된장국, 고구마맛탕, 오이지무침, 포기김치, 바나나1/2","[Dam-A] 뚝배기김치콩나물국밥, 매운돈사태떡조림, 동그랑땡전, 브로콜리숙회&초고추장, 깍두기, 완두콩밥","[Dam-A] (뚝)뼈다귀해장국, 떡갈비야채조림, 버섯잡채, 양념고추지, 포기김치, 쌀밥"
,"[Pangeos] 폭찹스테이크덮밥, 호박칼국수, 감자튀김&케찹, 돌나물적채무침, 피클&할라피뇨, 레몬에이드","[Pangeos] 떡갈비정식, 콩나물쫄면, 미소장국, 후리가케밥, 피클&할라피뇨, 바나나1/2","[Pangeos] 치킨커틀렛*베이비채소, 매콤알리오올리오, 크림스프, 김가루밥, 피클&할라피뇨, 이색푸딩",
"[Dam-A] 철판오삼불고기&파채, 시금치된장국, 볼어묵곤약조림, 오이부추무침, 포기김치, 수수밥","[Dam-A] 철판단호박닭갈비, 콩나물맑은국, 두부구이*양념장, 미역줄기양파볶음, 포기김치, 차조밥","[Dam-A] 돈육김치찌개, 고갈비구이, 버섯잡채, 간장깻잎지, 깍두기, 통밀밥","[Dam-A] 뚝배기콩불비빔밥, 미역국, 동그랑땡계란전, 오이지무침, 포기김치, 바나나1/2","[Dam-A] (뚝)날치알밥, 얼갈이된장국, 비엔나케찹볶음, 숙주삼색나물, 깍두기, 유과"
"[Pangeos] 토마토파스타&눈꽃치즈, 치킨커틀렛*단호박, 크림스프, 김가루밥, 피클&할라피뇨, 사과&요거트푸딩","[Pangeos] 그릴소시지김치필라프, 유부우동, 감자튀김&케찹, 미역줄기양파볶으, 피클&할랄피뇨, 화인쿨","[Pangeos] 에그떡갈비스테이크, 잔치국수, 후리카케밥, 참치펜네, 피클&할라피뇨, 요구르트","[Pangeos] 치킨데리야끼마요덮밥, 호박칼국수, 사모사튀김, 오이지무침, 산고추지, 바나나1/2","[Pangeos] 슈니첼&레몬&베이비채소, 매콤알리오올리오, 미소장국, 후리가케밥, 피클&할라피뇨, 유과"
